6 0 3 3 0 4 1 1.78641
7 3 3 0 4 0 1 0.513929
3 5 2 3 1 7 3 0.408365
2 4 3 0 1 0 3 0.374049
5 0 0 2 0 0 1 0.0252168
1 4 3 3 2 6 2 0.249685
5 3 1 0 3 5 0 0.054347
2 7 2 3 4 0 0 5.13937
2 5 3 1 10 4 2 2.8224
2 6 1 3 10 1 2 0.216311
0 6 3 3 5 3 0 4.24441
2 5 0 2 9 4 1 0.0289204
6 0 2 3 1 2 0 0.261621
2 4 1 0 5 4 1 0.0644106
6 2 3 2 1 1 1 0.648171
2 0 2 0 1 1 0 0.0170513
2 5 1 1 11 3 0 0.0807738
1 0 0 0 0 0 1 0.0111883
6 6 2 0 10 1 2 1.90509
0 6 1 1 9 4 1 0.149326
7 1 2 3 2 2 0 0.271286
1 6 0 2 12 7 0 0.0479256
5 1 0 0 1 1 0 0.0318554
1 6 3 1 0 5 2 1.61183
4 3 1 3 9 4 0 0.040912
2 3 1 3 4 5 1 0.016424
0 5 0 2 7 1 1 0.0274465
4 1 0 0 1 1 0 0.0192997
5 3 3 3 1 4 2 1.11241
6 5 1 3 11 7 1 0.306738
7 0 1 2 1 0 0 0.0140004
4 5 3 1 1 7 2 1.00027
6 7 1 2 6 0 2 1.02774
4 5 1 3 3 1 3 0.188449
7 6 1 1 3 4 3 3.1192
3 0 2 1 1 1 0 0.0161971
4 0 0 3 0 0 0 0.0203079
6 6 2 0 6 3 1 1.25612
2 5 0 2 8 3 1 0.0532386
5 4 2 3 1 7 3 0.280387
5 2 3 0 4 6 0 0.238001
1 3 3 2 1 5 1 0.13554
2 3 2 3 7 3 0 0.0885431
5 5 1 2 6 3 0 0.110067
0 5 1 2 4 7 3 0.0963813
7 2 3 0 4 1 0 0.372427
1 4 1 1 14 3 0 0.0356082
7 2 0 0 4 3 0 0.0556598
4 5 1 0 9 4 0 0.225185
7 0 2 2 1 2 0 0.0513401
5 4 3 0 13 6 0 1.45731
5 3 3 1 0 7 1 0.936896
1 5 1 0 12 0 0 0.146022
2 1 1 1 3 2 0 0.0120239
3 5 2 3 1 5 2 0.619643
6 2 2 1 4 6 0 0.103359
1 5 2 3 5 3 1 0.506995
1 5 2 0 1 5 1 0.222785
4 5 3 3 1 5 4 0.919706
5 1 2 0 1 2 1 0.0741932
1 6 3 2 13 2 2 4.4411
4 1 0 2 0 0 0 0.0298204
4 3 2 1 1 5 2 0.104141
1 7 3 0 8 5 0 6.69615
6 7 0 1 15 2 2 1.79588
2 3 3 3 4 0 0 0.350936
1 5 1 2 5 2 2 0.0796412
7 6 3 3 9 5 1 11.0032
2 3 1 2 4 6 1 0.0280563
7 3 3 3 2 5 1 2.73065
3 2 1 3 4 1 0 0.0156151
0 6 1 0 9 3 0 0.149292
4 4 0 3 11 3 0 0.0155109
7 0 1 3 0 1 1 0.104277
4 2 2 1 3 3 0 0.050705
4 4 3 2 4 4 1 0.691846
2 4 0 2 14 5 0 0.0119997
7 7 2 3 4 2 0 8.36383
7 6 2 2 10 4 0 2.62239
5 7 3 3 5 1 2 9.94786
1 6 1 1 7 0 2 0.249604
4 6 0 0 10 2 1 0.248661
4 1 1 1 0 1 0 0.0605598
4 6 1 3 14 3 1 0.361468
3 3 1 0 4 5 1 0.0328991
5 7 3 1 4 4 2 4.93176
5 4 1 1 7 0 0 0.0835652
1 2 0 3 7 7 0 0.00453249
6 3 1 1 3 5 0 0.0881395
2 6 2 1 4 1 0 0.582837
5 5 3 2 14 0 0 4.96082
0 2 2 3 3 3 0 0.0217168
4 7 3 3 1 0 3 10.4849
2 6 3 3 7 1 0 11.2468
2 7 1 3 12 6 0 0.623237
2 2 1 0 3 4 0 0.0149977
5 3 1 3 3 7 1 0.0377146
1 3 1 2 9 4 0 0.0204176
3 6 0 0 9 7 1 0.157998
3 3 3 0 4 2 1 0.305428
